,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,timestamp,icao24,latitude,longitude,groundspeed,track,vertical_rate,callsign,onground,alert,spi,squawk,altitude,geoaltitude,serials,hour,x,y,track_unwrapped,flight_id,phase,cluster,airtmp_sfc,airtmp_sig,albclm_sfc,albedo_sfc,canmoi_sfc,ceilht_sfc,cldmix_sig,cmpice_sig,conpac_sfc,cvcldf_sig,dewpnt_sig,dragen_sfc,dragmo_sfc,emixht_sig,emixmt_sig,gmrefr_sig,grdtmp_sfc,grdwet_sfc,grpmix_sig,gwetcl_sfc,htgrte_sig,icemix_sig,lahflx_sfc,lndsea_sfc,lonflx_sfc,lwradh_sig,lwsfdn_sfc,ncccon_sig,nggcon_sig,niicon_sig,nrrcon_sig,nsscon_sig,pblzht_sfc,perprs_sig,pottmp_sig,qqstar_sfc,radhtr_sig,ranmix_sig,rdarrf_sfc,rdarrf_sig,relhum_sig,roughl_sfc,seaice_sfc,seatmp_sfc,sehflx_sfc,smixco_sig,snoeqv_sfc,snomix_sig,snowdp_sfc,soilty_sfc,solflx_sfc,soltmp_sfc,stapac_sfc,stcldf_sig,swradh_sig,swsfdn_sfc,terrht_sfc,trpres_sfc,ttlmix_sig,ttlpcp_sfc,ttlprs_sig,ttlsac_sfc,ttstar_sfc,turbke_sig,uustar_sfc,uutrue_sig,uuwind_sig,veggrn_sfc,vegtyp_sfc,visibl_sfc,vvtrue_sig,vvwind_sig,wstres_sfc,wvapor_sig
4102,19627,19627,0,2022-03-31 10:45:00+00:00,ab8b62,41.23370361328125,-72.006591796875,161.0,152.17590361574676,2176.0,N843E,0.0,0.0,0.0,3557.0,4900.0,5400.0,"[970496204, -1408236131]",2022-03-31 10:00:00+00:00,229704.0852606635,196894.4534668558,152.17590361574676,N843E_052,CLIMB,0.0,279.4149169921875,6.167150020599365,,,,,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0,,0.0,,,,,,,,,,0.0005428659496828,,,,7.605608061567182e-06,,,84.61558532714844,1.4000000192027072e-05,0.0104062668979167,278.8133850097656,,,,0.0,,,,,0.0021743725519627,,,,0.0,1015.2938232421876,7.605608061567182e-06,0.0,1013.970458984375,,,0.0488999746739864,,-0.2985297739505768,-0.5137258768081665,,,,4.278468608856201,4.285224437713623,,0.0049466360360383
4103,19628,19628,1,2022-03-31 10:46:00+00:00,ab8b62,41.22573076668432,-72.00102372602981,164.0,151.2503380337904,1792.0,N843E,0.0,0.0,0.0,3557.0,5300.0,5400.0,"[970496204, -1408236131]",2022-03-31 10:00:00+00:00,230041.072861906,196289.8934909264,151.2503380337904,N843E_052,CLIMB,0.0,279.4149169921875,6.167150020599365,,,,,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0,,0.0,,,,,,,,,,0.0005428659496828,,,,7.605608061567182e-06,,,84.61558532714844,1.4000000192027072e-05,0.0104062668979167,278.8133850097656,,,,0.0,,,,,0.0021743725519627,,,,0.0,1015.2938232421876,7.605608061567182e-06,0.0,1013.970458984375,,,0.0488999746739864,,-0.2985297739505768,-0.5137258768081665,,,,4.278468608856201,4.285224437713623,,0.0049466360360383
4104,19629,19629,2,2022-03-31 10:47:00+00:00,ab8b62,41.18248373775159,-71.98192249644887,146.0,190.69221215528404,1984.0,N843E,0.0,0.0,0.0,3557.0,7200.0,5450.0,"[970496204, -1408236131]",2022-03-31 10:00:00+00:00,230413.96276544937,195648.79967375367,190.69221215528404,N843E_052,CLIMB,0.0,279.47186279296875,6.2320332527160645,,,,,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0,,0.0,,,,,,,,,,0.0005091031198389,,,,3.835431471088668e-06,,,84.5699691772461,1.4000000192027072e-05,0.0097795706242322,278.875,,,,0.0,,,,,0.0008191412780433,,,,0.0,1015.208251953125,3.835431471088668e-06,0.0,1013.8512573242188,,,0.0688158497214317,,-0.3411449193954468,-0.5646485090255737,,,,5.123164176940918,5.203003406524658,,0.0049669281579554
4105,19630,19630,3,2022-03-31 10:48:00+00:00,ab8b62,41.14704895019531,-72.022705078125,138.0,222.9441112149953,1728.0,N843E,0.0,0.0,0.0,3557.0,9400.0,7225.0,"[970496204, -1408236131]",2022-03-31 10:00:00+00:00,231931.5065785924,191291.6668715676,222.9441112149953,N843E_052,CLIMB,0.0,279.54852294921875,6.30199146270752,,,,,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0,,0.0,,,,,,,,,,0.0004839467001147,,,,4.731402611923841e-07,,,84.39002227783203,1.4000000192027072e-05,0.0091773066669702,278.9682006835937,,,,0.0,,,,,2.141702498192899e-05,,,,0.0,1015.16650390625,4.731402611923841e-07,0.0,1013.7623291015624,,,0.0740461200475692,,-0.3524048924446106,-0.6561703085899353,,,,5.74208402633667,5.836885929107666,,0.0049808965995907
4106,19631,19631,4,2022-03-31 10:49:00+00:00,ab8b62,41.12978660454184,-72.04471934925425,146.0,223.34769532234867,1152.0,N843E,0.0,0.0,0.0,3557.0,10400.0,10450.0,"[1408236435, 970496204, -1408236131]",2022-03-31 10:00:00+00:00,226986.60483257275,185462.2008907317,223.34769532234867,N843E_052,CLIMB,0.0,279.5423583984375,6.29561710357666,,,,,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0,,0.0,,,,,,,,,,0.0004793460539076,,,,1.2267272495591897e-06,,,84.71134948730469,1.4000000192027072e-05,0.0094820456579327,278.95458984375,,,,0.0,,,,,0.0001968152937479,,,,0.0,1015.137451171875,1.2267272495591897e-06,0.0,1013.7459716796876,,,0.0839645639061927,,-0.5026071071624756,-0.8033251166343689,,,,5.796014308929443,5.873815536499023,,0.0049978820607066
4107,19632,19632,5,2022-03-31 10:50:00+00:00,ab8b62,41.09637451171875,-72.08526611328125,160.0,220.71712153475383,1600.0,N843E,0.0,0.0,0.0,3557.0,11900.0,12100.0,"[-1408235371, 1408236435, 970496204, -1408236131]",2022-03-31 10:00:00+00:00,223956.93054483525,181997.53695120773,220.71712153475383,N843E_052,CLIMB,0.0,279.583740234375,6.332855701446533,,,,,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0,,0.0,,,,,,,,,,0.000471739040222,,,,0.0,,,84.88407897949219,1.4000000192027072e-05,0.0088900979608297,279.0744934082031,,,,0.0,,,,,0.0,,,,0.0,1015.146240234375,0.0,0.0,1013.7189331054688,,,0.0813560932874679,,-0.5771698951721191,-0.9124614596366882,,,,6.033407688140869,6.098455429077148,,0.0050212927162647
4108,19633,19633,6,2022-03-31 10:51:00+00:00,ab8b62,41.06460571289063,-72.12322998046875,159.0,221.18592516570965,1536.0,N843E,0.0,0.0,0.0,3557.0,13500.0,13800.0,"[1549351549, 970496204, -1408236131]",2022-03-31 10:00:00+00:00,220604.1133504774,178049.26876223477,221.18592516570965,N843E_052,CLIMB,0.0,279.566650390625,6.313274383544922,,,,,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0,,0.0,,,,,,,,,,0.0004601104883477,,,,0.0,,,85.8425521850586,1.4000000192027072e-05,0.0086078830063343,279.1976013183594,,,,0.0,,,,,0.0,,,,0.0,1015.1517333984376,0.0,0.0,1013.6780395507812,,,0.0786146894097328,,-0.9983396530151368,-1.3153653144836426,,,,5.647507190704346,5.767533302307129,,0.0050717303529381
4109,19634,19634,7,2022-03-31 10:52:00+00:00,ab8b62,41.03288269042969,-72.1612548828125,156.0,221.8778695378843,1152.0,N843E,0.0,0.0,0.0,3557.0,15200.0,15375.0,"[1408236164, -1408232035, 1549351549, -1408235852, 970496204, -1408236131]",2022-03-31 10:00:00+00:00,217566.06433437663,174508.0360854085,221.8778695378843,N843E_052,CLIMB,0.0,279.5562744140625,6.307948589324951,,,,,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0,,0.0,,,,,,,,,,0.0004403059720061,,,,0.0,,,86.07240295410156,1.4000000192027072e-05,0.0089022610336542,279.2252502441406,,,,0.0,,,,,0.0,,,,0.0,1015.075439453125,0.0,0.0,1013.6080932617188,,,0.0756593123078346,,-1.263615369796753,-1.5641106367111206,,,,5.530243396759033,5.621683597564697,,0.0050838971510529
4110,19635,19635,8,2022-03-31 10:53:00+00:00,ab8b62,40.99767135361493,-72.20352172851562,178.0,222.2736890060937,1408.0,N843E,0.0,0.0,0.0,3557.0,16400.0,16575.0,"[-1408232035, 1549351549, 1408236435, -1408236466, 970496204, -1408236131]",2022-03-31 10:00:00+00:00,214134.7492428608,170514.48889349756,222.2736890060937,N843E_052,CLIMB,0.0,279.3420715332031,6.061920642852783,,,,,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0,,1.0,,,,,,,,,,0.0004578674270305,,,,2.236480298734023e-07,,,88.70376586914062,0.4934782385826111,0.0083388481289148,279.26531982421875,,,,0.0,,,,,2.6806657842826095e-05,,,,13.736750602722168,1013.497802734375,2.236480298734023e-07,0.0,1012.0213012695312,,,0.3676636815071106,,-0.9281007051467896,-1.0623809099197388,,,,3.595680952072144,3.981302976608277,,0.005159726832062
4111,19636,19636,9,2022-03-31 10:54:00+00:00,ab8b62,40.961686473781775,-72.24634343927556,177.0,221.3380644244802,1408.0,N843E,0.0,0.0,0.0,3557.0,17700.0,18050.0,"[1408236164, -1408232035, 1549351549, -1408236466, -1408235852, 970496204, -1408236131, -1408232348]",2022-03-31 10:00:00+00:00,210497.673186435,166254.5161808873,221.3380644244802,N843E_052,CLIMB,0.0,279.42498779296875,6.126445293426514,,,,,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0,,1.0,,,,,,,,,,0.0004465391684789,,,,5.669970732924412e-07,,,88.75420379638672,0.4807692170143127,0.0081330006942152,279.2551574707031,,,,0.0,,,,,8.476489165332168e-05,,,,21.191673278808597,1012.6265258789062,5.669970732924412e-07,0.0,1011.087890625,,,0.33655846118927,,-1.2238173484802246,-1.25880229473114,,,,2.451013326644897,2.9802238941192627,,0.0051907799206674
